+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                 3 |  2 |       NEW |     READY |
|                 4 |  1 |   RUNNING |   WAITING |
|                 5 |  2 |     READY |   RUNNING |
|                 6 |  3 |       NEW |     READY |
|                 9 |  4 |       NEW |     READY |
|                 9 |  1 |   WAITING |     READY |
|                10 |  2 |   RUNNING |   WAITING |
|                11 |  1 |     READY |   RUNNING |
|                14 |  2 |   WAITING |     READY |
|                15 |  1 |   RUNNING |   WAITING |
|                16 |  2 |     READY |   RUNNING |
|                20 |  1 |   WAITING |     READY |
|                21 |  2 |   RUNNING |   WAITING |
|                22 |  1 |     READY |   RUNNING |
|                25 |  2 |   WAITING |     READY |
|                26 |  1 |   RUNNING |   WAITING |
|                27 |  2 |     READY |   RUNNING |
|                31 |  1 |   WAITING |     READY |
|                32 |  2 |   RUNNING |   WAITING |
|                33 |  1 |     READY |   RUNNING |
|                36 |  2 |   WAITING |     READY |
|                37 |  1 |   RUNNING |   WAITING |
|                38 |  2 |     READY |   RUNNING |
|                42 |  1 |   WAITING |     READY |
|                43 |  2 |   RUNNING |   WAITING |
|                44 |  1 |     READY |   RUNNING |
|                47 |  2 |   WAITING |     READY |
|                48 |  1 |   RUNNING |   WAITING |
|                49 |  2 |     READY |   RUNNING |
|                53 |  1 |   WAITING |     READY |
|                54 |  2 |   RUNNING |   WAITING |
|                55 |  1 |     READY |   RUNNING |
|                58 |  2 |   WAITING |     READY |
|                59 |  1 |   RUNNING |   WAITING |
|                60 |  2 |     READY |   RUNNING |
|                64 |  1 |   WAITING |     READY |
|                65 |  2 |   RUNNING |   WAITING |
|                66 |  1 |     READY |   RUNNING |
|                69 |  2 |   WAITING |     READY |
|                70 |  1 |   RUNNING |   WAITING |
|                71 |  2 |     READY |   RUNNING |
|                75 |  1 |   WAITING |     READY |
|                76 |  2 |   RUNNING |   WAITING |
|                77 |  1 |     READY |   RUNNING |
|                80 |  2 |   WAITING |     READY |
|                81 |  1 |   RUNNING |   WAITING |
|                82 |  2 |     READY |   RUNNING |
|                86 |  1 |   WAITING |     READY |
|                87 |  2 |   RUNNING |   WAITING |
|                88 |  1 |     READY |   RUNNING |
|                91 |  2 |   WAITING |     READY |
|                92 |  1 |   RUNNING |   WAITING |
|                93 |  2 |     READY |   RUNNING |
|                97 |  1 |   WAITING |     READY |
|                98 |  2 |   RUNNING |   WAITING |
|                99 |  1 |     READY |   RUNNING |
|               102 |  2 |   WAITING |     READY |
|               103 |  1 |   RUNNING |   WAITING |
|               104 |  2 |     READY |   RUNNING |
|               108 |  1 |   WAITING |     READY |
|               109 |  2 |   RUNNING |   WAITING |
|               110 |  1 |     READY |   RUNNING |
|               113 |  2 |   WAITING |     READY |
|               114 |  1 |   RUNNING |   WAITING |
|               115 |  2 |     READY |   RUNNING |
|               119 |  1 |   WAITING |     READY |
|               120 |  2 |   RUNNING |   WAITING |
|               121 |  1 |     READY |   RUNNING |
|               124 |  2 |   WAITING |     READY |
|               125 |  1 |   RUNNING |   WAITING |
|               126 |  2 |     READY |   RUNNING |
|               130 |  1 |   WAITING |     READY |
|               131 |  2 |   RUNNING |   WAITING |
|               132 |  1 |     READY |   RUNNING |
|               135 |  2 |   WAITING |     READY |
