+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                 3 |  2 |       NEW |     READY |
|                 4 |  1 |   RUNNING |   WAITING |
|                 5 |  1 |   WAITING |     READY |
|                 5 |  1 |     READY |   RUNNING |
|                 6 |  3 |       NEW |     READY |
|                 9 |  4 |       NEW |     READY |
|                 9 |  1 |   RUNNING |   WAITING |
|                10 |  1 |   WAITING |     READY |
|                10 |  1 |     READY |   RUNNING |
|                14 |  1 |   RUNNING |   WAITING |
|                15 |  1 |   WAITING |     READY |
|                15 |  1 |     READY |   RUNNING |
|                19 |  1 |   RUNNING |   WAITING |
|                20 |  1 |   WAITING |     READY |
|                20 |  1 |     READY |   RUNNING |
|                24 |  1 |   RUNNING |   WAITING |
|                25 |  1 |   WAITING |     READY |
|                25 |  1 |     READY |   RUNNING |
|                29 |  1 |   RUNNING |   WAITING |
|                30 |  1 |   WAITING |     READY |
|                30 |  1 |     READY |   RUNNING |
|                34 |  1 |   RUNNING |   WAITING |
|                35 |  1 |   WAITING |     READY |
|                35 |  1 |     READY |   RUNNING |
|                39 |  1 |   RUNNING |   WAITING |
|                40 |  1 |   WAITING |     READY |
|                40 |  1 |     READY |   RUNNING |
|                44 |  1 |   RUNNING |   WAITING |
|                45 |  1 |   WAITING |     READY |
|                45 |  1 |     READY |   RUNNING |
|                49 |  1 |   RUNNING |   WAITING |
|                50 |  1 |   WAITING |     READY |
|                50 |  1 |     READY |   RUNNING |
|                54 |  1 |   RUNNING |   WAITING |
|                55 |  1 |   WAITING |     READY |
|                55 |  1 |     READY |   RUNNING |
|                59 |  1 |   RUNNING |   WAITING |
|                60 |  1 |   WAITING |     READY |
|                60 |  1 |     READY |   RUNNING |
|                64 |  1 |   RUNNING |   WAITING |
|                65 |  1 |   WAITING |     READY |
|                65 |  1 |     READY |   RUNNING |
|                69 |  1 |   RUNNING |   WAITING |
|                70 |  1 |   WAITING |     READY |
|                70 |  1 |     READY |   RUNNING |
|                74 |  1 |   RUNNING |   WAITING |
|                75 |  1 |   WAITING |     READY |
|                75 |  1 |     READY |   RUNNING |
|                79 |  1 |   RUNNING |   WAITING |
|                80 |  1 |   WAITING |     READY |
|                80 |  1 |     READY |   RUNNING |
|                84 |  1 |   RUNNING |   WAITING |
|                85 |  1 |   WAITING |     READY |
|                85 |  1 |     READY |   RUNNING |
|                89 |  1 |   RUNNING |   WAITING |
|                90 |  1 |   WAITING |     READY |
|                90 |  1 |     READY |   RUNNING |
|                94 |  1 |   RUNNING |   WAITING |
|                95 |  1 |   WAITING |     READY |
|                95 |  1 |     READY |   RUNNING |
|                99 |  1 |   RUNNING |   WAITING |
|               100 |  1 |   WAITING |     READY |
|               100 |  1 |     READY |   RUNNING |
|               104 |  1 |   RUNNING |   WAITING |
|               105 |  1 |   WAITING |     READY |
|               105 |  1 |     READY |   RUNNING |
|               109 |  1 |   RUNNING |   WAITING |
|               110 |  1 |   WAITING |     READY |
|               110 |  1 |     READY |   RUNNING |
|               114 |  1 |   RUNNING |   WAITING |
|               115 |  1 |   WAITING |     READY |
|               115 |  1 |     READY |   RUNNING |
|               119 |  1 |   RUNNING |TERMINATED |
|               120 |  4 |     READY |   RUNNING |
|               129 |  4 |   RUNNING |   WAITING |
